"epoch","UNet2d-all-baseline-1day_final - _step","UNet2d-all-baseline-1day_final - _step__MIN","UNet2d-all-baseline-1day_final - _step__MAX","UNet2d-all-baseline-1day_final - Train Loss","UNet2d-all-baseline-1day_final - Train Loss__MIN","UNet2d-all-baseline-1day_final - Train Loss__MAX","UNet2d-all-baseline-1day_final - Validation Loss","UNet2d-all-baseline-1day_final - Validation Loss__MIN","UNet2d-all-baseline-1day_final - Validation Loss__MAX"
"1","0.5","0","1","0.6353362003962199","0.6353362003962199","0.6353362003962199","0.5424361162715488","0.5424361162715488","0.5424361162715488"
"2","2.5","2","3","0.5356387181102105","0.5356387181102105","0.5356387181102105","0.5178366369671292","0.5178366369671292","0.5178366369671292"
"3","4.5","4","5","0.447816864124634","0.447816864124634","0.447816864124634","0.3274486760298411","0.3274486760298411","0.3274486760298411"
"4","6.5","6","7","0.3361292262122316","0.3361292262122316","0.3361292262122316","0.31967023180590737","0.31967023180590737","0.31967023180590737"
"5","8.5","8","9","0.31572335152506076","0.31572335152506076","0.31572335152506076","0.30462856342395145","0.30462856342395145","0.30462856342395145"
"6","10.5","10","11","0.3059502607621487","0.3059502607621487","0.3059502607621487","0.2984563675191667","0.2984563675191667","0.2984563675191667"
"7","12.5","12","13","0.3017145277194257","0.3017145277194257","0.3017145277194257","0.2966049272153113","0.2966049272153113","0.2966049272153113"
"8","14.5","14","15","0.3020147713100385","0.3020147713100385","0.3020147713100385","0.29805971764855915","0.29805971764855915","0.29805971764855915"
"9","16.5","16","17","0.29844265913813367","0.29844265913813367","0.29844265913813367","0.2986978110339906","0.2986978110339906","0.2986978110339906"
"10","18.5","18","19","0.29732294427523825","0.29732294427523825","0.29732294427523825","0.2999870239032639","0.2999870239032639","0.2999870239032639"
"11","20.5","20","21","0.2956211466646794","0.2956211466646794","0.2956211466646794","0.2948429932196935","0.2948429932196935","0.2948429932196935"
"12","22.5","22","23","0.29296008146034097","0.29296008146034097","0.29296008146034097","0.2923947423696518","0.2923947423696518","0.2923947423696518"
"13","24.5","24","25","0.29036025393683956","0.29036025393683956","0.29036025393683956","0.2926609044273694","0.2926609044273694","0.2926609044273694"
"14","26.5","26","27","0.28832774670244016","0.28832774670244016","0.28832774670244016","0.29320269491937423","0.29320269491937423","0.29320269491937423"
"15","28.5","28","29","0.28546469700786303","0.28546469700786303","0.28546469700786303","0.28965215964449775","0.28965215964449775","0.28965215964449775"
"16","30.5","30","31","0.28431500700659723","0.28431500700659723","0.28431500700659723","0.29400140543778736","0.29400140543778736","0.29400140543778736"
"17","32.5","32","33","0.2833101235845554","0.2833101235845554","0.2833101235845554","0.29473671731021667","0.29473671731021667","0.29473671731021667"
"18","34.5","34","35","0.2821209500983076","0.2821209500983076","0.2821209500983076","0.2893324808941947","0.2893324808941947","0.2893324808941947"
"19","36.5","36","37","0.28204974419665785","0.28204974419665785","0.28204974419665785","0.29182930125130546","0.29182930125130546","0.29182930125130546"
"20","38.5","38","39","0.28154990339429126","0.28154990339429126","0.28154990339429126","0.2983502431048287","0.2983502431048287","0.2983502431048287"
"21","40.5","40","41","0.27983813999958757","0.27983813999958757","0.27983813999958757","0.2919614464044571","0.2919614464044571","0.2919614464044571"
"22","42.5","42","43","0.2794725749665086","0.2794725749665086","0.2794725749665086","0.29288125700420803","0.29288125700420803","0.29288125700420803"
"23","44.5","44","45","0.27587252621005914","0.27587252621005914","0.27587252621005914","0.2903193251954185","0.2903193251954185","0.2903193251954185"
"24","46.5","46","47","0.27465572034787833","0.27465572034787833","0.27465572034787833","0.2907237650619613","0.2907237650619613","0.2907237650619613"
"25","48.5","48","49","0.27515836594239723","0.27515836594239723","0.27515836594239723","0.28974425461557174","0.28974425461557174","0.28974425461557174"
"26","50.5","50","51","0.2740659624713022","0.2740659624713022","0.2740659624713022","0.2913438652952512","0.2913438652952512","0.2913438652952512"
"27","52.5","52","53","0.2737181766790414","0.2737181766790414","0.2737181766790414","0.2899442853199111","0.2899442853199111","0.2899442853199111"
"28","54.5","54","55","0.27339956820386013","0.27339956820386013","0.27339956820386013","0.28992945286962724","0.28992945286962724","0.28992945286962724"
"29","56.5","56","57","0.27296624215518905","0.27296624215518905","0.27296624215518905","0.2899162330561214","0.2899162330561214","0.2899162330561214"
"30","58.5","58","59","0.2728367033619551","0.2728367033619551","0.2728367033619551","0.2900817063119676","0.2900817063119676","0.2900817063119676"
"31","60.5","60","61","0.27315168148316676","0.27315168148316676","0.27315168148316676","0.2901427017317878","0.2901427017317878","0.2901427017317878"
"32","62.5","62","63","0.27368023691687193","0.27368023691687193","0.27368023691687193","0.2901892628934648","0.2901892628934648","0.2901892628934648"
"33","64.5","64","65","0.2730596018662243","0.2730596018662243","0.2730596018662243","0.29001892771985793","0.29001892771985793","0.29001892771985793"
"34","66.5","66","67","0.2731500092729832","0.2731500092729832","0.2731500092729832","0.2898274146848255","0.2898274146848255","0.2898274146848255"
"35","68.5","68","69","0.27290737825744554","0.27290737825744554","0.27290737825744554","0.29004985342423123","0.29004985342423123","0.29004985342423123"
"36","70.5","70","71","0.273149108080744","0.273149108080744","0.273149108080744","0.290154120988316","0.290154120988316","0.290154120988316"
"37","72.5","72","73","0.27312741695709947","0.27312741695709947","0.27312741695709947","0.2898111591736476","0.2898111591736476","0.2898111591736476"
"38","74.5","74","75","0.2734596587764392","0.2734596587764392","0.2734596587764392","0.2901349373989635","0.2901349373989635","0.2901349373989635"
"39","76.5","76","77","0.2736544952077686","0.2736544952077686","0.2736544952077686","0.28995299835999805","0.28995299835999805","0.28995299835999805"