"epoch","ViT-all-10days_final - _step","ViT-all-10days_final - _step__MIN","ViT-all-10days_final - _step__MAX","ViT-all-10days_final - Train Loss","ViT-all-10days_final - Train Loss__MIN","ViT-all-10days_final - Train Loss__MAX","ViT-all-10days_final - Validation Loss","ViT-all-10days_final - Validation Loss__MIN","ViT-all-10days_final - Validation Loss__MAX"
"1","0.5","0","1","0.869533452972676","0.869533452972676","0.869533452972676","0.8544790976577334","0.8544790976577334","0.8544790976577334"
"2","2.5","2","3","0.8474981702348721","0.8474981702348721","0.8474981702348721","0.8309995300239987","0.8309995300239987","0.8309995300239987"
"3","4.5","4","5","0.8195389614165204","0.8195389614165204","0.8195389614165204","0.7986592849095663","0.7986592849095663","0.7986592849095663"
"4","6.5","6","7","0.7863043040599463","0.7863043040599463","0.7863043040599463","0.777539935376909","0.777539935376909","0.777539935376909"
"5","8.5","8","9","0.749413659362673","0.749413659362673","0.749413659362673","0.7228288551171621","0.7228288551171621","0.7228288551171621"
"6","10.5","10","11","0.7103040634461169","0.7103040634461169","0.7103040634461169","0.689046260383394","0.689046260383394","0.689046260383394"
"7","12.5","12","13","0.6748529035340315","0.6748529035340315","0.6748529035340315","0.6467012498113844","0.6467012498113844","0.6467012498113844"
"8","14.5","14","15","0.6428443455846055","0.6428443455846055","0.6428443455846055","0.615365187327067","0.615365187327067","0.615365187327067"
"9","16.5","16","17","0.6147775897439921","0.6147775897439921","0.6147775897439921","0.6025626328256395","0.6025626328256395","0.6025626328256395"
"10","18.5","18","19","0.589968739815478","0.589968739815478","0.589968739815478","0.5669539272785187","0.5669539272785187","0.5669539272785187"
"11","20.5","20","21","0.5682942267483885","0.5682942267483885","0.5682942267483885","0.5447425809171464","0.5447425809171464","0.5447425809171464"
"12","22.5","22","23","0.548820547712674","0.548820547712674","0.548820547712674","0.5391389098432329","0.5391389098432329","0.5391389098432329"
"13","24.5","24","25","0.531135804623178","0.531135804623178","0.531135804623178","0.5329548385408189","0.5329548385408189","0.5329548385408189"
"14","26.5","26","27","0.5140866172388665","0.5140866172388665","0.5140866172388665","0.5073636604679955","0.5073636604679955","0.5073636604679955"
"15","28.5","28","29","0.4975748333915974","0.4975748333915974","0.4975748333915974","0.5023413764105903","0.5023413764105903","0.5023413764105903"
"16","30.5","30","31","0.4802707887295657","0.4802707887295657","0.4802707887295657","0.47681145038869643","0.47681145038869643","0.47681145038869643"
"17","32.5","32","33","0.46186992863439164","0.46186992863439164","0.46186992863439164","0.46770789557033116","0.46770789557033116","0.46770789557033116"
"18","34.5","34","35","0.4415052982996095","0.4415052982996095","0.4415052982996095","0.4704373810026381","0.4704373810026381","0.4704373810026381"
"19","36.5","36","37","0.4191113314913504","0.4191113314913504","0.4191113314913504","0.4339604063166512","0.4339604063166512","0.4339604063166512"
"20","38.5","38","39","0.39537329606290134","0.39537329606290134","0.39537329606290134","0.4157809880044725","0.4157809880044725","0.4157809880044725"
"21","40.5","40","41","0.3709234887698911","0.3709234887698911","0.3709234887698911","0.3798641579018699","0.3798641579018699","0.3798641579018699"
"22","42.5","42","43","0.34927594699199843","0.34927594699199843","0.34927594699199843","0.36634156107902527","0.36634156107902527","0.36634156107902527"
"23","44.5","44","45","0.32794420214943915","0.32794420214943915","0.32794420214943915","0.35178355541494155","0.35178355541494155","0.35178355541494155"
"24","46.5","46","47","0.31007725618920234","0.31007725618920234","0.31007725618920234","0.3323281125889884","0.3323281125889884","0.3323281125889884"
"25","48.5","48","49","0.2931582843357662","0.2931582843357662","0.2931582843357662","0.31523864799075657","0.31523864799075657","0.31523864799075657"
"26","50.5","50","51","0.28090842433695523","0.28090842433695523","0.28090842433695523","0.3054875002966987","0.3054875002966987","0.3054875002966987"
"27","52.5","52","53","0.2713035706828975","0.2713035706828975","0.2713035706828975","0.3047854933473799","0.3047854933473799","0.3047854933473799"
"28","54.5","54","55","0.26156804115517335","0.26156804115517335","0.26156804115517335","0.2994886504279243","0.2994886504279243","0.2994886504279243"
"29","56.5","56","57","0.252548374657361","0.252548374657361","0.252548374657361","0.29996537665526074","0.29996537665526074","0.29996537665526074"
"30","58.5","58","59","0.2481799860420467","0.2481799860420467","0.2481799860420467","0.30224434865845573","0.30224434865845573","0.30224434865845573"
"31","60.5","60","61","0.24213766255093822","0.24213766255093822","0.24213766255093822","0.2887117664019267","0.2887117664019267","0.2887117664019267"
"32","62.5","62","63","0.23629636209715837","0.23629636209715837","0.23629636209715837","0.29546450244055855","0.29546450244055855","0.29546450244055855"
"33","64.5","64","65","0.23208704965669405","0.23208704965669405","0.23208704965669405","0.29935795234309304","0.29935795234309304","0.29935795234309304"
"34","66.5","66","67","0.22792605399710578","0.22792605399710578","0.22792605399710578","0.2973700629340278","0.2973700629340278","0.2973700629340278"
"35","68.5","68","69","0.22298688118187887","0.22298688118187887","0.22298688118187887","0.2913607822524177","0.2913607822524177","0.2913607822524177"
"36","70.5","70","71","0.2201862320210199","0.2201862320210199","0.2201862320210199","0.2934001228875584","0.2934001228875584","0.2934001228875584"